start_x,start_y,end_x,end_y
-30,-11,-30,-10
-30,10,-30,11
-30,11,30,11
30,11,30,10
30,-10,30,-11
30,-11,-30,-11
-30,5,30,5
30,-5,-30,-5
-13,-15,-13,-17
-13,-17,-5,-17
-5,-17,-5,-15
-5,-15,-13,-15
-4,17,-4,15
-4,15,4,15
4,15,4,17
4,17,-4,17
5,-15,5,-17
5,-17,13,-17
13,-17,13,-15
13,-15,5,-15
14,17,14,15
14,15,22,15
22,15,22,17
22,17,14,17
25,-13,25,-16
25,-16,30,-16
30,-16,30,-13
30,-13,25,-13
25,16,25,13
25,13,30,13
30,13,30,16
30,16,25,16
-30,-13,-30,-16
-30,-16,-25,-16
-25,-16,-25,-13
-25,-13,-30,-13
-28,-11,-28,-13
-28,-13,28,-13
28,-13,28,-11
28,-11,-28,-11
-28,13,-28,11
-28,11,28,11
28,11,28,13
28,13,-28,13
-30,16,-30,13
-30,13,-25,13
-25,13,-25,16
-25,16,-30,16
-22,-16,-22,-15
-22,-15,-25,-15
-25,-15,-25,-13
-25,-13,25,-13
25,-13,25,-15
25,-15,22,-15
22,-15,22,-16
22,-16,14,-16
14,-16,14,-15
14,-15,4,-15
4,-15,4,-16
4,-16,-4,-16
-4,-16,-4,-15
-4,-15,-14,-15
-14,-15,-14,-16
-14,-16,-22,-16
-22,17,-22,15
-22,15,-14,15
-14,15,-14,17
-14,17,-22,17
-25,13,-25,15
-25,15,-13,15
-13,15,-13,16
-13,16,-5,16
-5,16,-5,15
-5,15,5,15
5,15,5,16
5,16,13,16
13,16,13,15
13,15,25,15
25,15,25,13
25,13,-25,13
-29,2,-29,-2
-31,0,-27,0
27,0,31,0
